Unnamed: 0,age,Gender,Department,employment status,Years of experience,Work environment,Do you often feel overwhelmed by your workload?,Is your workload generally manageable?,Do you frequently work beyond your scheduled hours?,Do you feel supported by your manager and team?,Are you satisfied with the resources and help available at work?,Do you often feel isolated when dealing with work challenges?,Do you frequently think about work in your personal time?,Do you feel you have a healthy work-life balance?,Does your work often interfere with personal or family time?,Do you regularly feel physically or emotionally exhausted?,"Do you experience symptoms like sleep issues, anxiety, or low mood?",Do you regularly engage in physical or leisure activities?,How do you feel?
37,51-60,female,Cyber Security,part-time,1-5,Office-based,1,4,4,4,4,1,5,1,4,1,2,4,Healthy
38,under 20,male,Software development,part-time,16-20,Office-based,1,2,3,2,1,2,5,4,1,2,5,5,Mildly Stressed
39,21-30,male,Other,full-time,6-10,remote,2,3,1,3,4,5,1,4,2,1,4,1,Healthy
40,41-50,male,Cyber Security,part-time,1-5,remote,3,3,2,3,5,5,1,4,4,3,2,4,Healthy
41,under 20,female,Hardware engineering,full-time,1-5,hybrid,1,5,2,3,5,3,1,3,2,2,4,3,Healthy
42,41-50,female,Software development,contract,16-20,remote,5,5,5,1,5,2,3,5,1,1,3,1,Healthy
43,21-30,male,Software development,contract,6-10,hybrid,5,2,4,3,3,1,2,5,2,5,4,4,Mildly Stressed
44,21-30,female,Hardware engineering,part-time,16-20,remote,1,4,4,2,4,3,5,2,4,3,4,3,Highly Stressed
45,under 20,female,Hardware engineering,contract,11-15,remote,3,3,2,5,2,4,4,2,1,2,2,1,Mildly Stressed
46,21-30,male,Software development,contract,1-5,remote,5,4,1,3,4,2,5,5,1,2,4,4,Healthy
47,51-60,female,Hardware engineering,contract,16-20,remote,5,2,2,2,4,3,5,1,1,5,5,5,Highly Stressed
48,21-30,female,IT Services,contract,1-5,hybrid,3,3,2,1,3,5,5,5,3,5,1,1,Mildly Stressed
49,41-50,male,Cyber Security,full-time,6-10,hybrid,3,3,4,1,4,3,5,3,4,1,3,1,Highly Stressed
50,41-50,female,Cyber Security,full-time,less than 1 year,remote,1,1,3,5,1,4,2,2,3,1,2,3,Mildly Stressed
51,41-50,female,Cyber Security,part-time,16-20,remote,4,2,1,5,5,2,4,2,1,1,4,4,Healthy
52,41-50,male,IT Services,part-time,16-20,hybrid,2,2,4,2,5,3,1,2,3,4,4,5,Mildly Stressed
53,51-60,female,Hardware engineering,part-time,1-5,Office-based,4,1,2,5,3,1,4,5,2,3,4,3,Healthy
54,31-40,female,Other,contract,6-10,Office-based,4,4,3,5,5,2,5,2,3,2,3,1,Mildly Stressed
55,under 20,male,Hardware engineering,contract,11-15,Office-based,5,1,1,1,1,3,4,2,5,3,1,3,Highly Stressed
56,41-50,male,Software development,full-time,6-10,hybrid,3,2,5,2,3,3,5,5,1,5,5,3,Highly Stressed
57,21-30,male,Cyber Security,full-time,16-20,hybrid,5,4,1,5,2,2,4,1,1,3,5,3,Mildly Stressed
58,41-50,female,Hardware engineering,part-time,11-15,Office-based,2,3,1,2,5,5,3,2,4,3,2,1,Mildly Stressed
59,21-30,male,Other,full-time,6-10,Office-based,1,1,2,3,4,1,4,2,2,1,1,2,Healthy
60,21-30,female,Software development,full-time,less than 1 year,remote,2,4,2,1,1,2,1,2,4,5,1,3,Mildly Stressed
61,41-50,male,IT Services,full-time,1-5,hybrid,5,4,5,1,1,1,1,3,3,3,3,2,Highly Stressed
62,51-60,female,IT Services,full-time,6-10,hybrid,5,4,5,1,5,1,4,5,5,2,4,5,Mildly Stressed
63,21-30,male,Other,full-time,6-10,Office-based,5,1,5,4,2,2,4,2,5,1,1,5,Mildly Stressed
64,21-30,male,Software development,part-time,less than 1 year,Office-based,5,3,4,2,4,3,2,3,5,3,4,5,Mildly Stressed
65,41-50,male,Cyber Security,part-time,16-20,hybrid,4,4,4,3,2,5,4,1,5,5,3,4,Burned out
66,21-30,male,Hardware engineering,full-time,1-5,remote,1,1,2,5,2,1,1,1,2,2,2,1,Healthy
67,21-30,female,Software development,part-time,6-10,Office-based,4,2,2,3,5,1,3,3,3,5,2,2,Mildly Stressed
68,41-50,male,IT Services,contract,11-15,hybrid,5,1,5,2,4,3,1,1,5,5,4,4,Highly Stressed
69,41-50,male,Other,full-time,6-10,hybrid,3,1,4,1,5,2,2,4,1,5,4,2,Mildly Stressed
70,under 20,female,Other,contract,1-5,remote,4,1,3,4,5,5,4,1,3,4,1,1,Highly Stressed
71,51-60,male,Hardware engineering,part-time,6-10,remote,5,4,4,2,1,1,3,4,2,2,3,3,Mildly Stressed
72,51-60,female,Other,part-time,less than 1 year,Office-based,5,1,2,2,5,1,1,3,5,5,2,4,Mildly Stressed
73,21-30,male,Other,contract,6-10,Office-based,1,2,4,5,3,2,3,4,2,4,1,1,Healthy
74,51-60,male,Software development,part-time,6-10,Office-based,2,4,2,3,4,3,5,1,5,1,5,4,Mildly Stressed
75,21-30,male,Cyber Security,full-time,11-15,hybrid,4,2,5,3,1,4,1,2,1,4,1,5,Mildly Stressed
76,under 20,female,Hardware engineering,contract,less than 1 year,Office-based,4,5,5,5,4,3,5,4,3,1,4,4,Healthy
77,41-50,male,Software development,full-time,less than 1 year,hybrid,4,1,5,4,1,1,3,1,1,4,5,3,Highly Stressed
78,41-50,male,Cyber Security,contract,6-10,Office-based,5,4,3,1,3,1,4,2,5,5,1,3,Highly Stressed
79,41-50,male,Software development,part-time,11-15,remote,1,4,3,1,5,5,4,3,4,4,3,2,Mildly Stressed
80,51-60,female,Software development,contract,6-10,remote,5,1,2,4,1,3,4,3,3,4,2,4,Highly Stressed
81,under 20,female,Other,contract,6-10,hybrid,5,3,1,5,1,4,5,5,2,5,5,5,Highly Stressed
82,51-60,male,Cyber Security,full-time,1-5,remote,3,3,3,2,1,5,4,3,5,1,3,3,Highly Stressed
83,51-60,female,Hardware engineering,part-time,1-5,hybrid,1,2,2,3,3,4,2,5,1,5,1,2,Healthy
84,under 20,male,Hardware engineering,full-time,11-15,hybrid,4,1,4,2,4,5,1,3,4,2,4,5,Mildly Stressed
85,under 20,male,Cyber Security,part-time,16-20,remote,2,1,5,3,3,3,1,3,5,4,4,5,Mildly Stressed
86,under 20,male,Other,full-time,1-5,hybrid,4,5,5,2,1,1,3,3,2,2,3,5,Healthy
87,under 20,male,IT Services,contract,16-20,remote,5,3,5,5,1,4,5,5,1,5,4,1,Highly Stressed
88,41-50,male,Software development,full-time,less than 1 year,Office-based,1,3,2,5,5,3,1,5,3,5,2,3,Healthy
89,31-40,male,Other,part-time,1-5,Office-based,1,1,5,4,3,4,5,4,4,3,3,1,Highly Stressed
90,31-40,male,Cyber Security,part-time,1-5,remote,1,2,3,2,3,3,3,1,5,2,3,1,Highly Stressed
91,under 20,female,Software development,contract,11-15,remote,3,1,4,2,2,5,4,1,5,3,4,3,Burned Out
92,31-40,female,Hardware engineering,part-time,16-20,remote,4,2,5,4,4,3,3,1,5,2,3,4,Mildly Stressed
93,31-40,female,IT Services,full-time,1-5,remote,3,3,2,4,2,5,2,3,5,3,1,2,Mildly Stressed
94,under 20,female,Hardware engineering,contract,1-5,Office-based,2,5,4,5,2,1,4,1,1,3,5,3,Mildly Stressed
95,31-40,female,Cyber Security,part-time,11-15,hybrid,5,4,5,5,4,5,4,5,3,2,5,2,Mildly Stressed
96,51-60,female,Software development,part-time,11-15,hybrid,3,3,1,2,5,2,4,4,2,5,4,4,Mildly Stressed
97,21-30,female,Cyber Security,full-time,16-20,Office-based,3,2,5,5,5,1,3,2,4,1,2,3,Healthy
98,21-30,male,Software development,full-time,less than 1 year,hybrid,5,1,3,5,4,3,2,4,5,5,2,5,Mildly Stressed
99,under 20,male,Other,contract,less than 1 year,Office-based,1,3,4,2,4,3,5,1,5,1,4,3,Highly Stressed
100,41-50,male,IT Services,part-time,6-10,hybrid,5,5,3,4,3,2,3,1,3,2,4,4,Mildly Stressed
101,under 20,male,Other,full-time,1-5,remote,4,2,1,2,3,3,1,5,3,4,3,1,Mildly Stressed
102,41-50,female,Other,contract,16-20,remote,5,1,1,1,3,1,1,4,1,5,2,3,Mildly Stressed
103,21-30,female,Cyber Security,part-time,1-5,remote,1,4,3,2,3,1,3,5,1,3,5,5,Healthy
104,under 20,male,IT Services,part-time,16-20,Office-based,5,2,4,1,1,5,5,5,1,5,4,3,Burned Out
105,51-60,male,Software development,contract,16-20,Office-based,3,1,1,2,1,4,1,2,4,2,5,1,Highly Stressed
106,31-40,female,Software development,contract,16-20,hybrid,2,4,1,1,5,3,5,5,1,4,5,3,Healthy
107,41-50,male,Hardware engineering,full-time,1-5,hybrid,3,1,5,1,1,2,4,5,5,4,2,5,Highly Stressed
108,31-40,male,Software development,part-time,11-15,hybrid,2,4,2,2,1,1,3,2,1,5,5,4,Mildly Stressed
109,31-40,male,Cyber Security,part-time,1-5,Office-based,5,4,1,5,3,1,4,3,4,5,3,5,Healthy
110,under 20,male,Other,part-time,16-20,hybrid,4,4,4,3,3,1,1,3,1,5,3,4,Healthy
111,31-40,female,Other,contract,6-10,remote,5,1,4,5,4,4,5,2,1,2,2,5,Mildly Stressed
112,51-60,male,Other,full-time,less than 1 year,hybrid,1,4,5,1,3,4,4,5,5,1,3,2,Mildly Stressed
113,31-40,male,IT Services,part-time,16-20,remote,5,2,4,2,4,3,1,1,5,1,4,3,Highly Stressed
114,under 20,female,Software development,contract,6-10,Office-based,2,5,5,2,4,2,2,4,5,3,2,3,Healthy
115,51-60,female,Cyber Security,part-time,11-15,remote,3,5,1,2,1,4,4,1,1,2,5,1,Highly Stressed
116,21-30,male,IT Services,full-time,16-20,remote,4,4,1,2,3,5,2,1,5,4,4,2,Highly Stressed
117,31-40,female,Hardware engineering,part-time,6-10,remote,5,5,1,3,1,4,2,5,3,3,2,1,Mildly Stressed
118,under 20,male,Cyber Security,full-time,16-20,Office-based,5,5,1,4,3,1,1,4,2,4,5,3,Healthy
119,21-30,male,Cyber Security,full-time,1-5,Office-based,3,4,2,1,1,2,3,4,2,4,5,1,Highly Stressed
120,21-30,female,Cyber Security,part-time,6-10,Office-based,4,4,2,3,1,3,5,3,5,5,5,4,Highly Stressed
121,41-50,male,Other,part-time,1-5,Office-based,5,2,1,5,1,4,1,2,4,4,5,2,Highly Stressed
122,51-60,male,Cyber Security,full-time,1-5,hybrid,5,3,4,4,5,1,4,5,5,4,5,5,Mildly Stressed
123,31-40,male,Software development,contract,6-10,Office-based,2,1,5,4,1,5,5,4,5,2,2,4,Highly Stressed
124,under 20,male,Cyber Security,full-time,less than 1 year,remote,2,4,3,2,2,5,3,5,1,5,3,5,Mildly Stressed
125,41-50,female,Other,part-time,6-10,Office-based,1,4,5,3,2,3,1,3,4,5,5,1,Highly Stressed
126,51-60,female,Cyber Security,part-time,less than 1 year,hybrid,3,5,3,5,2,3,3,1,5,3,4,3,Mildly Stressed
127,41-50,male,Hardware engineering,contract,16-20,hybrid,4,2,3,2,4,4,4,4,3,5,2,4,Highly Stressed
128,51-60,female,Hardware engineering,full-time,16-20,hybrid,5,5,1,2,1,3,1,3,2,1,1,2,Healthy
129,51-60,male,Other,full-time,6-10,remote,5,4,3,1,2,1,4,5,3,2,3,5,Mildly Stressed
130,31-40,male,Software development,full-time,16-20,Office-based,1,4,1,4,4,1,5,3,3,3,4,4,Healthy
131,51-60,male,Software development,part-time,11-15,Office-based,5,5,2,5,2,1,5,3,3,1,5,3,Healthy
132,41-50,male,IT Services,full-time,1-5,Office-based,3,4,4,4,3,4,3,3,4,4,2,2,Mildly Stressed
133,51-60,male,Other,contract,1-5,remote,1,3,3,3,5,4,3,3,4,1,2,2,Healthy
134,31-40,female,Cyber Security,part-time,less than 1 year,remote,3,1,4,1,1,3,5,3,4,3,5,5,Highly Stressed
135,31-40,male,Other,part-time,16-20,hybrid,1,1,1,2,5,4,2,3,2,5,4,4,Healthy
136,41-50,female,IT Services,full-time,less than 1 year,hybrid,5,1,3,1,5,1,5,2,1,2,2,4,Mildly Stressed
137,21-30,female,Other,contract,1-5,Office-based,1,3,5,2,3,2,1,5,5,3,3,2,Mildly Stressed
138,21-30,male,Other,part-time,1-5,remote,2,4,2,1,3,1,4,1,5,1,4,1,Highly Stressed
139,51-60,male,IT Services,part-time,16-20,remote,4,5,2,2,3,2,5,5,1,1,5,2,Healthy
140,under 20,male,Software development,full-time,11-15,Office-based,5,2,3,4,4,3,5,4,5,3,4,3,Highly Stressed
141,51-60,male,Cyber Security,full-time,11-15,Office-based,4,4,2,4,2,5,4,4,3,3,4,4,Mildly Stressed
142,41-50,male,IT Services,contract,16-20,hybrid,5,3,5,4,1,4,4,5,2,3,1,5,Mildly Stressed
143,41-50,female,Hardware engineering,full-time,16-20,hybrid,4,3,4,4,3,4,1,3,5,5,5,4,Highly Stressed
144,41-50,male,Software development,contract,less than 1 year,hybrid,2,1,5,1,1,1,4,2,2,3,3,2,Highly Stressed
145,41-50,male,Hardware engineering,part-time,16-20,Office-based,4,4,2,2,1,1,3,1,1,4,5,3,Mildly Stressed
146,41-50,female,Software development,contract,11-15,Office-based,1,1,4,4,1,2,5,3,5,2,1,1,Highly Stressed
147,31-40,female,Cyber Security,contract,16-20,hybrid,4,2,5,1,3,4,4,5,2,2,5,4,Highly Stressed
148,21-30,male,Cyber Security,contract,less than 1 year,hybrid,5,1,1,2,3,3,1,5,3,4,5,2,Mildly Stressed
149,41-50,female,Other,part-time,less than 1 year,remote,3,2,1,1,2,1,4,2,3,1,3,2,Mildly Stressed
150,under 20,male,Hardware engineering,full-time,less than 1 year,remote,4,3,4,4,3,4,5,2,1,1,1,2,Mildly Stressed
151,under 20,female,Software development,part-time,less than 1 year,hybrid,4,1,4,3,3,5,2,5,4,1,5,3,Highly Stressed
152,under 20,female,Cyber Security,full-time,6-10,hybrid,4,1,4,1,1,2,4,3,5,1,5,2,Burned Out
153,under 20,male,IT Services,contract,16-20,remote,5,5,1,4,2,1,3,3,3,5,2,2,Healthy
154,31-40,female,Cyber Security,contract,1-5,hybrid,4,3,5,5,5,1,5,3,3,4,5,2,Mildly Stressed
155,under 20,female,IT Services,contract,16-20,remote,5,5,4,2,3,3,1,1,1,2,3,4,Healthy
156,41-50,female,Software development,contract,6-10,remote,5,2,1,4,3,1,5,1,3,4,2,2,Highly Stressed
157,51-60,female,Cyber Security,contract,less than 1 year,remote,3,2,4,5,5,4,2,3,5,2,1,3,Healthy
158,under 20,female,Cyber Security,full-time,6-10,Office-based,1,3,4,1,1,4,1,5,1,1,4,4,Healthy
159,31-40,female,Software development,full-time,11-15,Office-based,5,2,4,1,2,4,2,2,2,5,3,2,Highly Stressed
160,31-40,male,Cyber Security,contract,11-15,hybrid,2,3,1,5,1,5,2,4,1,3,1,1,Healthy
161,under 20,male,IT Services,part-time,16-20,remote,4,2,5,5,4,5,3,2,5,3,2,3,Highly Stressed
162,51-60,female,Cyber Security,part-time,16-20,Office-based,2,4,1,2,3,1,4,2,5,1,4,1,Mildly Stressed
163,under 20,male,Hardware engineering,contract,1-5,hybrid,4,1,1,1,4,5,3,4,2,1,1,3,Mildly Stressed
164,31-40,male,Other,full-time,1-5,hybrid,3,4,4,5,3,5,3,3,1,4,3,1,Mildly Stressed
165,21-30,male,IT Services,part-time,11-15,hybrid,5,3,3,3,4,3,3,2,5,5,2,2,Highly Stressed
166,41-50,female,Hardware engineering,part-time,less than 1 year,hybrid,1,3,3,3,5,5,1,4,5,5,3,1,Mildly Stressed
167,31-40,male,Software development,part-time,6-10,hybrid,5,4,3,5,3,2,4,5,2,4,3,1,Mildly Stressed
168,under 20,female,IT Services,contract,1-5,remote,4,1,1,2,3,2,4,5,4,5,2,3,Mildly Stressed
169,41-50,male,Other,part-time,1-5,hybrid,1,1,4,1,4,2,1,5,1,5,5,2,Mildly Stressed
170,under 20,female,Other,part-time,less than 1 year,remote,5,5,3,3,2,1,3,3,5,3,3,3,Mildly Stressed
171,under 20,female,Software development,part-time,less than 1 year,Office-based,1,2,2,5,4,4,3,2,3,5,2,2,Mildly Stressed
172,21-30,male,Software development,part-time,16-20,hybrid,4,5,2,5,3,3,2,2,2,1,3,5,Healthy
173,41-50,male,IT Services,full-time,6-10,Office-based,3,1,2,4,3,1,2,1,4,3,5,4,Mildly Stressed
174,41-50,female,Cyber Security,contract,less than 1 year,remote,3,4,5,5,2,4,5,5,4,1,2,4,Mildly Stressed
175,21-30,male,Software development,contract,1-5,remote,5,2,4,2,1,3,2,3,2,1,1,3,Mildly Stressed
176,31-40,male,Cyber Security,full-time,1-5,Office-based,2,4,1,3,2,3,4,4,4,4,1,2,Mildly Stressed
177,under 20,male,Hardware engineering,full-time,11-15,hybrid,4,5,1,4,1,3,1,3,5,5,1,1,Mildly Stressed
178,51-60,female,Other,contract,less than 1 year,hybrid,5,3,4,3,3,2,3,2,4,5,4,4,Highly Stressed
179,under 20,female,Cyber Security,part-time,16-20,Office-based,5,4,5,3,5,2,5,5,1,5,3,3,Mildly Stressed
180,under 20,male,Other,part-time,6-10,Office-based,3,5,4,2,5,2,2,1,3,5,3,3,Mildly Stressed
181,31-40,male,Cyber Security,contract,16-20,Office-based,1,5,5,5,4,3,5,3,5,3,2,3,Healthy
182,under 20,male,Hardware engineering,part-time,1-5,hybrid,4,5,3,2,2,3,1,1,2,2,4,2,Mildly Stressed
183,21-30,female,Software development,full-time,16-20,hybrid,1,3,3,5,2,2,1,2,3,1,3,3,Healthy
184,21-30,female,Hardware engineering,part-time,1-5,hybrid,4,3,5,4,5,3,5,4,5,2,2,5,Mildly Stressed
185,41-50,male,Software development,part-time,1-5,Office-based,2,3,4,2,1,2,5,3,3,2,5,1,Highly Stressed
186,51-60,male,Software development,part-time,1-5,hybrid,3,2,3,2,2,2,5,2,4,2,3,3,Mildly Stressed
187,under 20,male,Other,contract,1-5,remote,2,3,4,1,1,2,3,5,2,3,3,2,Mildly Stressed
188,under 20,male,Hardware engineering,full-time,1-5,Office-based,5,3,3,2,1,4,4,3,2,2,5,1,Highly Stressed
189,31-40,male,Cyber Security,part-time,11-15,hybrid,3,3,4,1,1,3,2,1,1,3,5,1,Highly Stressed
190,21-30,male,Hardware engineering,contract,16-20,Office-based,5,4,4,5,1,1,2,3,4,4,3,4,Mildly Stressed
191,51-60,female,Other,part-time,11-15,remote,2,3,2,5,4,2,2,2,1,4,5,3,Healthy
192,41-50,male,Software development,full-time,11-15,remote,4,2,5,5,4,1,5,2,1,4,2,3,Mildly Stressed
193,21-30,female,Other,part-time,less than 1 year,Office-based,5,5,1,1,5,4,5,1,4,3,3,2,Highly Stressed
194,41-50,male,IT Services,full-time,less than 1 year,Office-based,1,4,5,5,4,3,5,2,5,3,3,5,Mildly Stressed
195,31-40,male,IT Services,part-time,less than 1 year,remote,4,1,4,3,2,2,3,3,1,1,1,5,Healthy
196,31-40,female,Cyber Security,full-time,6-10,Office-based,4,3,4,2,4,2,3,1,3,2,3,4,Mildly Stressed
197,under 20,female,Other,part-time,less than 1 year,remote,2,5,5,1,2,2,3,2,5,5,1,5,Mildly Stressed
198,51-60,female,Cyber Security,full-time,16-20,remote,2,5,4,5,2,1,3,2,4,5,5,2,Highly Stressed
199,41-50,female,Cyber Security,part-time,11-15,hybrid,3,4,3,3,1,4,1,3,2,2,5,4,Mildly Stressed
200,21-30,male,IT Services,part-time,16-20,Office-based,3,1,4,2,5,3,3,2,5,5,2,3,Highly Stressed
201,31-40,female,Cyber Security,contract,less than 1 year,Office-based,1,2,5,2,1,4,3,3,1,5,1,5,Mildly Stressed
202,under 20,male,IT Services,contract,6-10,hybrid,4,5,5,5,1,2,3,5,3,5,3,2,Mildly Stressed
203,under 20,female,Software development,full-time,6-10,remote,1,5,5,3,4,4,2,3,4,3,1,2,Mildly Stressed
204,41-50,male,Other,part-time,11-15,Office-based,1,5,2,1,4,1,2,4,2,3,5,3,Healthy
205,31-40,male,Cyber Security,full-time,16-20,hybrid,2,5,2,5,2,5,2,2,3,3,5,2,Mildly Stressed
206,51-60,male,IT Services,contract,1-5,hybrid,1,4,2,2,4,5,4,5,2,2,2,4,Healthy
207,31-40,male,Hardware engineering,full-time,16-20,Office-based,1,1,2,2,4,3,1,1,4,4,5,4,Mildly Stressed
208,41-50,male,Cyber Security,full-time,less than 1 year,hybrid,5,5,2,2,3,3,5,4,5,5,1,1,Highly Stressed
209,41-50,male,Software development,contract,1-5,remote,3,2,2,5,2,4,3,1,1,1,3,3,Mildly Stressed
210,31-40,female,Software development,part-time,6-10,hybrid,3,2,2,4,2,3,2,4,4,3,3,2,Mildly Stressed
211,41-50,male,Hardware engineering,full-time,11-15,remote,4,3,5,4,3,1,1,5,3,1,1,5,Healthy
212,31-40,female,IT Services,contract,11-15,remote,3,5,1,4,2,2,3,5,5,5,2,4,Healthy
213,21-30,female,Cyber Security,part-time,6-10,Office-based,4,5,2,3,5,2,4,5,2,4,3,3,Healthy
214,31-40,male,IT Services,contract,less than 1 year,hybrid,5,5,5,5,5,4,5,4,5,1,1,3,Healthy
215,31-40,female,Software development,full-time,6-10,remote,3,5,1,2,3,2,3,3,5,5,1,4,Mildly Stressed
216,41-50,male,IT Services,part-time,less than 1 year,remote,5,5,2,3,4,4,5,1,3,5,5,1,Highly Stressed
217,41-50,female,Software development,part-time,1-5,hybrid,3,2,1,4,5,3,3,3,1,3,5,3,Healthy
218,under 20,male,IT Services,contract,6-10,remote,3,1,1,1,3,3,4,3,5,4,2,2,Highly Stressed
219,under 20,female,Hardware engineering,contract,less than 1 year,hybrid,5,1,3,3,5,1,1,2,5,5,2,5,Mildly Stressed
220,21-30,male,Other,contract,1-5,Office-based,1,3,4,3,1,2,5,1,1,4,2,5,Mildly Stressed
221,under 20,male,Hardware engineering,part-time,6-10,remote,1,2,3,5,3,1,5,4,1,3,1,4,Healthy
222,31-40,male,Hardware engineering,part-time,11-15,remote,1,5,1,3,2,5,1,2,2,1,1,3,Healthy
223,41-50,male,Other,full-time,6-10,hybrid,1,1,5,5,5,1,5,2,2,2,5,5,Healthy
224,under 20,female,Other,part-time,16-20,hybrid,3,4,2,1,2,4,2,5,1,2,3,3,Healthy
225,under 20,male,Cyber Security,full-time,6-10,hybrid,2,4,4,2,3,4,1,4,4,2,2,4,Healthy
226,21-30,female,Cyber Security,contract,16-20,hybrid,5,4,2,2,5,1,4,3,1,4,4,1,Mildly Stressed
227,21-30,female,Hardware engineering,contract,1-5,remote,2,5,5,4,2,3,3,3,2,2,2,5,Healthy
228,31-40,female,Hardware engineering,part-time,6-10,Office-based,2,5,4,4,4,5,3,3,3,1,5,2,Mildly Stressed
229,41-50,male,Software development,contract,1-5,Office-based,4,3,3,1,4,1,1,5,3,5,1,4,Healthy
230,21-30,female,Software development,contract,1-5,Office-based,1,3,1,2,1,3,2,3,5,4,5,1,Highly Stressed
231,under 20,female,Cyber Security,part-time,less than 1 year,Office-based,3,3,5,4,3,1,4,1,3,1,5,2,Mildly Stressed
232,41-50,female,Cyber Security,full-time,1-5,hybrid,1,4,1,3,2,2,3,3,2,4,5,2,Healthy
233,41-50,male,Software development,part-time,1-5,remote,1,5,1,5,1,4,3,3,3,4,4,5,Healthy
